Title,Company Name,Experience (yrs),Location,Salary,Job Description,Skills,Date Posted
Hiring For AEM Front End Developer   React,krazy mantra hr solutions,3 - 7,"Chennai,  Pune,  Gurgaon",,"Hiring For AEM Front End Developer   ReactAEM Front End Developer   ReactDesired ProfileSkills: AEM Front End Developer   React ,  web frontend development ,  Adobe Experience","aem front end developer   ,   react   ,   web frontend development   ,   adobe experience manager workflows   ,   javascript libraries  /  frameworks   ,  html5  ,  cq5",Posted 6 days ago
Senior Software Engineer- UI,Informatica,4 - 9,"Bengaluru / Bangalore,  null",,"Job Number: 37181Primary Location: Bangalore ,  Karnataka INExperience Level: Mid-Senior LevelTravel Requirement: LimitedBuild Your Career at InformaticaWe're looking for a di","**  html  ,   css   ,   javascript  ,   reactjs   ,   nodejs   ,   cloud infrastructures   ,   microservices architecture **  ,  html5  ,  user interaction  ,  senior software engineer  ,  ajax  ,  jquery  ,  json  ,  web development  ,  team player  ,  node.js",Posted 2 days ago
Principal Full Stack Engineer,recooty,7 - 10,Thailand,,"Manatal is an HRTech software service  ( B2B SaaS )  company headquartered in Bangkok ,  Thailand. Manatal is one of the fastest-growing start-ups in the region and is backed","full stack development   ,   software engineering   ,   single page applications   ,   code optimization   ,   team mentoring   ,  database management  ,  postgresql  ,  web development  ,  mysql  ,  api  ,  mongodb  ,  github  ,  python  ,  language proficiency  ,  javascript  ,  django  ,  infrastructure",Posted 2 days ago
Application Architect-Microsoft Business Applications,IBM India Pvt Ltd,8 - 11,China,,"### #### IntroductionAs an IBM Application Architect ,  you directly help clients transform their business and solve complex problems. You will define the scope and vision for","c#  ,   d365  ,   azure  ,   crm  ,   architecture   ,  technical leader  ,  technical architecture  ,  application architecture  ,  saas",Posted 3 days ago
.net AI Developer,Unified Cloud Pvt Ltd,5 - 8,Noida/Greater Noida,,: .net AI DeveloperJob Title: .net AI DeveloperExperience: At least 5 years as a Software Developer and a minimum of 3 years of relevant experience in AI / ML solutions.depart,",  net development   ,   ai  /  ml solutions   ,   azure openai   ,   sql   ,   cloud services   ,  css  ,  .net technologies  ,  hosting  ,  software requirements  ,  database  ,  asp.net  ,  web api  ,  html  ,  mysql  ,  mvc  ,  c#  ,  python  ,  javascript  ,  infrastructure  ,  software developer",Posted 3 days ago
Sr. Java Fullstack Developer || 4  yrs || RR / 482 / 2024,eMids Technologies Pvt Ltd,4 - 8,"Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Noida/Greater Noida",,"Exp: 4-7 yrsLocation: Noida  /  Bangalore  /  Hyderabad  ( Hybrid ) NP: 0-15 Days joinerKey Responsibilities:Designing ,  developing ,  and maintaining Java-based web applicat","java development   ,   front end development   ,   restful api design   ,   sql   ,   communication skills   ,  html5  ,  hibernate  ,  database  ,  git  ,  debugging  ,  javascript  ,  spring boot  ,  java programming",Posted 5 days ago
Staff Software Engineer- Front End,Moody's Corporation,3 - 8,UK,,"## - **Experience Level:** Experienced Hire- **Categories:** Engineering  & amp; Technology- **Location ( s ) :** 55 Princess Street ,  Floor 3 ,  Manchester ,  M2 4EW ,  GBAt","frontend development   ,   coding standards   ,   user experience   ,   project management   ,   technical leadership   ,  css  ,  security  ,  html  ,  python",Posted 3 days ago
Cloud Software Development Engineer,Intel Technology India Pvt Ltd,6 - 8,"Bengaluru / Bangalore,  null",,"Designs ,  develops ,  validates ,  and debugs software to enable Intel hardware features and to optimize for cloud ,  hybrid cloud ,  and / or on-prem deployment models. Unde","software development   ,   cloud optimization   ,   data science   ,   programming languages   ,   problem solving   ,  algorithms  ,  c    ,  computer programming  ,  storage  ,  artificial intelligence  ,  docker  ,  database  ,  software engineering  ,  middleware  ,  python  ,  github  ,  os  ,  javascript",Posted 3 days ago
"ION Group - Cloud Developer  Migration  ( 355 ,  356 ,  357 )  ,  New York  ( hybrid )",ion trading india pvt. ltd.,5 - 10,New York City,,"# **Position:** Cloud Developer  Migration  ( 355 ,  356 ,  357 )   **Location:** New York  ( hybrid ) **Company:** Lab49  Software Engineering  **Employment Type:** Full-time","cloud development   ,   java programming   ,   aws services   ,   ci  /  cd automation   ,   problem analysis   ,  scala  ,  storage  ,  docker  ,  spring  ,  security  ,  postgresql  ,  iam  ,  technology consulting  ,  software engineering  ,  mvc  ,  python  ,  rdbms  ,  oracle  ,  javascript  ,  infrastructure",Posted 3 days ago
PHP  /  Full stack developer,Doconline Health India,6 - 8,Hyderabad/Secunderabad,,"PHP  /  Full stack developer Hyderabad ,  IndiaJob Description :Should Understand the requirementsProvide solution designDevelop web application using Laravel framework  &  Vu","laravel  ,  html5  ,  rest api  ,  mobile  ,  ajax  ,  jquery  ,  javascript  ,  database  ,  apache  ,  git  ,  oops  ,  linux  ,  php  ,  json  ,  mysql  ,  mvc",Posted few days ago
Backend Engineer,recooty,1 - 5,Thailand,,"# ## Company OverviewManatal is an HRTech software service  ( B2B SaaS )  company headquartered in Bangkok ,  Thailand. Manatal is one of the fastest-growing start-ups in the","python development   ,   django framework   ,   software engineering   ,   api design   ,   database management   ,  git  ,  postgresql  ,  mysql  ,  mongodb  ,  github  ,  language proficiency  ,  javascript  ,  nosql  ,  infrastructure",Posted 3 days ago
Solution Architect,ots solutions pvt. ltd,7 - 9,Gurgaon,,"Solution ArchitectLocation: Gurgaon - Spaze TowerPosted On: 2024-02-29As a Full Stack Architect ,  you will be responsible for designing and overseeing the development of our","architectural design   ,   technical leadership   ,   technology evaluation   ,   development   ,   project management   ,  css  ,  sql  ,  docker  ,  security  ,  java  ,  devops  ,  debugging  ,  html  ,  technical skills  ,  python  ,  solution architect  ,  javascript  ,  ruby  ,  nosql  ,  node.js  ,  .net",Posted 4 days ago
Angular with Node,virtusa consulting services pvt. ltd.,3 - 8,,,"Angular with Node - CREQ194304DescriptionJob SummaryWe are seeking a highly skilled and experienced Angular and Node.js Full Stack Developer to join our team. As a developer ,","angular development   ,   node  ,  js development   ,   full stack development   ,   agile methodologies   ,   web application security   ,  css  ,  docker  ,  d3.js  ,  html  ,  web development  ,  mongodb  ,  rest  ,  javascript  ,  web programming  ,  node.js  ,  project delivery",Posted 4 days ago
Senior Software Engineer RR / 804 / 2024,eMids Technologies Pvt Ltd,4 - 7,Bengaluru / Bangalore,,"Position: SSEExperience: 4  YearsWork Location: Bangalore  Hybrid work model - 3 days WFOMandate Skills: Python ,  Django ,  OOPSPython Django Developer  ( 4-7 Years Experienc","python  ,   django  ,   restful apis  ,   django orm  ,   docker    ,  css  ,  security  ,  database  ,  git  ,  oops  ,  debugging  ,  html  ,  javascript  ,  web technologies",Posted 4 days ago
Intern Job Details | Boston Scientific,BOSTON SCIENTIFIC,0 - 3,France,,"InternWork mode:Onsite Location ( s ) : le-de-France ,  75 ,  FRHiring Manager: Alice AsserafRecruiter: Sobiha BoudiafStage Ingnieur d'application H / F BOSTON SCIENTIFIC SASP","medical devices   ,   clinical support   ,   technical knowledge   ,   communication skills   ,   product launch planning   ,  sas  ,  entry level",Posted 5 days ago
Cloud Software Development Engineer,Intel Technology India Pvt Ltd,6 - 8,"Bengaluru / Bangalore,  null",,"Designs ,  develops ,  validates ,  and debugs software to enable Intel hardware features and to optimize for cloud ,  hybrid cloud ,  and / or on-prem deployment models. Unde","software development   ,   cloud computing   ,   data science   ,   programming languages   ,   problem solving   ,  algorithms  ,  c    ,  computer programming  ,  storage  ,  artificial intelligence  ,  database development  ,  docker  ,  software engineering  ,  middleware  ,  python  ,  github  ,  os  ,  javascript",Posted 4 days ago
"Infogain looking for .net Core Developer  ( Senior )  ,  Noida ,  India 6-8 Years Experience in .net Development",Infogain Corporation,6 - 8,"Mumbai,  Bengaluru / Bangalore,  Pune,  Noida/Greater Noida,  Gurgaon",,".net Core Developer  ( Senior )  with skills .net Development ,  .net Core ,  ASP.net ,  c# ,  VB.net for location Noida ,  IndiaPosted on: July 28 ,  2024Share on Linkedin Sh",".net development  ,   .net core  ,   asp.net  ,   c#  ,   vb.net   ,  artificial intelligence  ,  database  ,  devops  ,  debugging  ,  web development  ,  web api  ,  software engineering  ,  telecom  ,  oracle  ,  entity framework",Posted 5 days ago
"Infogain looking for .net Fullstack  ( Angular )  Developer  ( Senior )  ,  Pune ,  India 6-8 Years Experience in .net Development",Infogain Corporation,6 - 8,Pune,,"Title: .net Fullstack  ( Angular )  Developer  ( Senior ) Location: Pune ,  IndiaPosted on: July 27 ,  2024ROLES  & amp; RESPONSIBILITIESCore SkillsExpertise in .net and Angul",",  net development   ,   angular   ,     ,  net core   ,   c#   ,   api automation   ,  rest api  ,  artificial intelligence  ,  database  ,  asp.net  ,  web development  ,  web api  ,  software engineering  ,  telecom  ,  oracle  ,  angularjs  ,  forms",Posted 5 days ago
"Infogain looking for .net Core Developer  ( Senior )  ,  Noida ,  India 8-11 Years Experience in .net Development",Infogain Corporation,8 - 11,"Mumbai,  Bengaluru / Bangalore,  Pune,  Noida/Greater Noida,  Gurgaon",,": .net Core Developer  ( Senior ) Location: Noida ,  IndiaPosted on: July 27 ,  2024Core SkillsExpertise in .net Core programming and web development technologiesDeveloping an",",  net development   ,     ,  net core   ,   asp  ,  net   ,   c#   ,   entity framework core   ,  vb.net  ,  artificial intelligence  ,  sql  ,  database  ,  devops  ,  asp.net  ,  debugging  ,  web development  ,  web api  ,  software engineering  ,  telecom  ,  oracle",Posted 5 days ago
Wordpress Developer  ( 1 Position ),ACE INFOWAY PVT. LTD.,3 - 5,Nadiad,,Wordpress Developer  ( 1 Position ) Division: eCommerceLocation: NadiadExperience: 3  YearsRoles and Responsibilities1-4 years of experience in WordPress development.Strong kn,"wordpress development  ,   php  ,   html css  ,   javascript  ,   mysql   ,  jquery  ,  wordpress developer  ,  git  ,  web technologies",Posted 6 days ago
Full Stack Developer,wibits web solutions llp,0 - 1,Chennai,,"#  Full Stack DeveloperWe are seeking a highly motivated Full Stack Developer to join our team. In this role ,  you will work on a variety of projects ,  using modern technolo","css  ,  node.js  ,  laravel  ,  php  ,  html  ,  javascript",Posted 6 days ago
.net  /  .net CORE MVC DEVELOPER,Triveni Engineering & Industries Ltd,2 - 3,"Ahmedabad,  Surat,  Pune",,"ASP.net MVC ,  .net Core ,  Asp.net Core MVCExperience in creating WebAPI  /  RESTful ServicesEntity Framework ,  Code First  /  Design First Approach ,  LINQ ,  DapperFamilia","fundamentals  ,  css  ,  bootstrap  ,  jquery  ,  git  ,  postgresql  ,  devops  ,  asp.net  ,  oops  ,  html  ,  mysql  ,  mvc  ,  mongodb  ,  rdbms  ,  entity framework  ,  javascript  ,  linq  ,  identity management  ,  .net",Posted 6 days ago
Lead Fullstack  /  Wordpress Developer,socialbeat,4 - 6,"Chennai,  Bengaluru / Bangalore",,"General Knowledge:Skilled in PHP ,  HTML ,  CSS and Javascript.Skilled in Deployment on any Cloud servicesWordPress ,  Woo CommerceReactJs ,  Vue JS ,  Node JS ,  Mongo DBExpe","css  ,  cloud services  ,  laravel  ,  wordpress  ,  team player  ,  javascript  ,  xml  ,  php  ,  json  ,  html",Posted 6 days ago
Lead Full Stack Engineer,recooty,4 - 9,Thailand,,"Manatal is an HRTech software service  ( B2B SaaS )  company headquartered in Bangkok ,  Thailand. Manatal is one of the fastest-growing start-ups in the region and is backed","full stack development   ,   web application design   ,   software engineering   ,   ai technologies   ,   communication skills   ,  database management  ,  postgresql  ,  mysql  ,  api  ,  mongodb  ,  github  ,  python  ,  language proficiency  ,  javascript  ,  node.js  ,  django  ,  infrastructure",Posted 4 days ago
Principal Full Stack Engineer,recooty,7 - 10,Thailand,,"Manatal is an HRTech software service  ( B2B SaaS )  company headquartered in Bangkok ,  Thailand. Manatal is one of the fastest-growing start-ups in the region and is backed","full stack development   ,   web applications   ,   software engineering   ,   code quality   ,   api design   ,  database management  ,  postgresql  ,  web development  ,  mysql  ,  mongodb  ,  github  ,  python  ,  language proficiency  ,  javascript  ,  django  ,  infrastructure",Posted 4 days ago
React.js / node.js Developer,softscripts,2 - 7,Visakhapatnam,,"Experience with any modern framework  ( React ,  Vue ,  Node ) .Experience with ReactJS and React-Native.Experience with Node JS.Knowledge of Linux ,  Git ,  REST API.Experien","github  ,  git  ,  rest api  ,  linux  ,  svn",Posted few days ago
PHP Developer with Laravel Framework - Infoway,infoway it solutions pvt.ltd,1 - 4,Chandigarh,,"Job SummaryMinimum 1-yearexperience in PHP  ( Laravel )  ,  Javascript  ( jQuery / Vue )  ,  and MySQLResponsibilities and DutiesLead ,  develop and maintain new features for","laravel  ,  php  ,  mysql  ,  html  ,  javascript  ,  jquery",Posted few days ago
"Infogain looking for Technical Architect  ( Standard )  ,  Pune ,  India 12-14 Years Experience in Application Architecture",Infogain Corporation,12 - 14,Pune,,"### **Title:** Technical Architect  ( Standard ) **Skills:** Application Architecture ,  Frontend Architecture ,  .net Architecture ,  Java Architecture**Location:** Pune ,  I",".net core  ,   frontend architecture  ,   aws paas  ,   integration  ,   agile practices   ,  artificial intelligence  ,  sql  ,  database  ,  java  ,  git  ,  asp.net  ,  web development  ,  web api  ,  software engineering  ,  telecom  ,  c#  ,  oracle  ,  angularjs  ,  soap  ,  forms",Posted 5 days ago
Expert en transport  /  Transportation Expert  ( Mirabel ),Textron India Pvt Ltd,1 - 9,Canada,,"Expert en transport  /  Transportation Expert  ( Mirabel ) Company: Bell Textron Inc.Location: Mirabel ,  Quebec ,  CanadaPosted Date: 2024-07-23Reference No: 325676JOB DUTIES","transportation logistics   ,   customs compliance   ,   supply chain   ,   sap ecc  /  gts   ,   process improvement   ,  production  ,  spare parts  ,  des  ,  cost reduction  ,  fabrication  ,  documentation  ,  ideas  ,  planning",Posted 4 days ago
Senior Front-end Developer,Binance,3 - 5,,,"Responsibilities: Implement new user-facing features in Binances products which have a huge amount of PV everyday.Write client-side code to create super-fast ,  easy-to-use ,","mobile  ,  javascript  ,  Front-end Developer",Posted 6 days ago
Associate Technical Trainer,Triveni Engineering & Industries Ltd,0 - 5,Surat,,"Excellent oral and written communication.self-motivated and self-driven.Solid Principle ,  OOPS ,  Fundamentals of Programming ,  SOA Concepts ,  Asp.net MVC ,  Asp.net Core ,","fundamentals  ,  css  ,  soa  ,  jquery  ,  sql  ,  java  ,  oops  ,  asp.net  ,  html  ,  mysql  ,  mvc  ,  c#  ,  rdbms  ,  machine learning  ,  javascript  ,  identity management  ,  written communication  ,  leadership skills",Posted 6 days ago
SR. WEB DEVELOPER  /  MODULE LEAD,Triveni Engineering & Industries Ltd,3 - 5,"Ahmedabad,  Surat,  Pune",,"Experience Required: 3-5 yearsQualification: MSc.it ,  MCA ,  BE ,  or EquivalentSkills:.net Core ,  .net Core MVC or .net MVCWebAPI  /  RESTful ServicesFamiliar with React Js","css  ,  soa  ,  bootstrap  ,  jquery  ,  postgresql  ,  html  ,  mysql  ,  teamcity  ,  mvc  ,  api  ,  rdlc  ,  mongodb  ,  javascript  ,  messaging  ,  identity management  ,  .net  ,  reporting tools",Posted 6 days ago
Technical Lead,Nexevo Technologies,5 - 8,Jeddah,,"What Work Will You Do?As a tech lead at Nexevo Technologies ,  will be able to develop and support existing applications by using PHP / Javascript technology. You will coordin","css  ,  software design  ,  wordpress  ,  git  ,  devops  ,  linux  ,  debugging  ,  html  ,  mysql  ,  magento  ,  laravel  ,  rdbms  ,  svn  ,  javascript  ,  delivery management  ,  php",Posted 6 days ago
Lead Product Architect,LogicPlum Private Limited,7 - 10,Cochin/ Kochi/ Ernakulam,,## **Job Summary:**  We are seeking a highly skilled and experienced Lead Architect to join our team. The Lead Architect will be responsible for designing and implementing sca,"python  ,  software design  ,  sql  ,  git",Posted 6 days ago
Sr. Manager UI,Dell India,3 - 10,Hyderabad/Secunderabad,,"UI Team Lead  ( Senior Manager Engineering ) About us:Secureworks  ( NASDAQ: SCWX )  ,  a global cybersecurity leader ,  enables our customers and partners to outpace and outm","frontend development   ,   team management   ,   javascript   ,   angular   ,   scrum  /  kanban    ,  big data  ,  docker  ,  security  ,  git  ,  software engineer  ,  machine learning",Posted 5 days ago
Nielsen - Sr Software Engineer_62,Nielsen Research Ltd. Co.,5 - 8,Mumbai,,"Position: Sr Software Engineer_62Location: Mumbai ,  IndiaTechnology: Engineering  /  HybridAt Nielsen ,  we believe that career growth is a partnership. You ultimately own ,","python  ,   java  ,   javascript  ,   sql  ,   cloud computing   ,  algorithms  ,  c    ,  docker  ,  database  ,  git  ,  software engineer  ,  object oriented programming  ,  github  ,  problem solving  ,  infrastructure",Posted 6 days ago
Nielsen - Software Engineer_Full Stack,Nielsen Research Ltd. Co.,2 - 5,Mumbai,,"Job Title: Software Engineer_Full StackLocation: Mumbai ,  IndiaTechnology: EngineeringEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we believe that career g","clean code   ,   scalable architectures   ,   test driven development   ,   devops   ,   frontend development   ,  fundamentals  ,  algorithms  ,  sql  ,  docker  ,  memory management  ,  xml  ,  json  ,  software engineer  ,  data structures  ,  mysql  ,  api  ,  mongodb  ,  python  ,  javascript  ,  nosql  ,  cassandra  ,  unix  /  linux",Posted 6 days ago
Nielsen - Senior Software Engineer_Full Stack,Nielsen Research Ltd. Co.,2 - 7,Mumbai,,"Position: Senior Software Engineer_Full StackLocation: Mumbai ,  IndiaTechnology: EngineeringEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we believe that ca","**  clean code   ,   scalable architectures   ,   test driven development   ,   devops   ,   frontend development **  ,  fundamentals  ,  algorithms  ,  senior software engineer  ,  sql  ,  docker  ,  memory management  ,  xml  ,  json  ,  data structures  ,  mysql  ,  api  ,  mongodb  ,  python  ,  javascript  ,  nosql  ,  cassandra  ,  unix  /  linux",Posted 6 days ago
Shopify Developer,socialbeat,5 - 8,"Gurgaon,  Mumbai,  Chennai,  Bengaluru / Bangalore",,"We're seeking a Shopify Developer for a Sr Manager position ,  whose key responsibilities include completing web development projects ,  managing ,  and growing a team. This r","css  ,  computer programming  ,  html5  ,  bootstrap  ,  ajax  ,  jquery  ,  xml  ,  debugging  ,  web development  ,  mysql  ,  html  ,  object oriented programming  ,  github  ,  javascript  ,  shopify  ,  leadership skills",Posted 6 days ago
Laravel Developer,everdata technologies,1 - 3,Jaipur,,1 to 3  yearsRoles and Responsibilities:Proficient in Laravel  & amp; Vue.js developmentExperience as a web developer.Understanding of MVC design patterns.proficient in front-,"security compliance  ,  css  ,  html5  ,  bootstrap  ,  ajax  ,  xml  ,  web developer  ,  zend  ,  mysql  ,  html  ,  mvc  ,  laravel  ,  mvc architecture  ,  team player  ,  javascript  ,  php",Posted few days ago
Nielsen - Principal Software Engineer  ( Full Stack ) _V,Nielsen Research Ltd. Co.,5 - 9,Mumbai,,"Principal Software Engineer  ( Full Stack )  - Mumbai ,  IndiaTechnology: EngineeringEmployment Type: Full TimeWork Setup: HybridAt Nielsen ,  we believe that career growth is","javascript programming   ,   python programming   ,   sql database   ,   full stack development   ,   agile environment   ,  c    ,  senior software engineer  ,  docker  ,  git  ,  github  ,  problem solving  ,  infrastructure  ,  .net",Posted 6 days ago
"Stage automne 2024 - Charg de projet en logistique  /  2024 fall Internship - Logistic project manager  ( Mirabel ,  QC )",Textron India Pvt Ltd,0 - 1,Canada,,"Stage automne 2024 - Charg de projet en logistique  /  2024 fall Internship - Logistic project manager  ( Mirabel ,  QC ) Company: Bell Textron Inc.Location: Mirabel ,  Quebec","**  data analysis   ,   presentation skills   ,   project management   ,   teamwork   ,   leadership **  ,  portfolio",Posted 6 days ago
Senior Software Engineer  ( NodeJS )  - Mohali,paxcel technologies pvt.ltt  /  paxcom india  ( p )  ltd,5 - 8,Mohali,,"ABOUT US:Paxcom a leading Digital Solution Provider is a part of Paymentus now ,  a leading electronic bill payment provider. PaymentUs leads the North American marketplace in","backend development   ,   system design   ,   sql  ,   nosql databases   ,   node  ,  js   ,   microservices architecture   ,  orchestration  ,  docker  ,  git  ,  telecom  ,  mysql  ,  mongodb  ,  ivr  ,  mobile  ,  node.js",Posted 6 days ago
Safe Security - Engineering Manager,lucideus technology pvt ltd,8 - 10,Bengaluru / Bangalore,,: Engineering Manager - BengaluruDepartment: Engineering - Product EngineeringEmployment Type: Full-timeLocation: On-siteOur vision is to be the Champions of a Safer Digital F,"technical leadership   ,   technical strategy   ,   code review   ,   problem solving   ,   collaboration   ,  sql  ,  database  ,  software engineering  ,  web development  ,  python  ,  nosql",Posted 6 days ago
Safe Security - Software Development Engineer II,lucideus technology pvt ltd,2 - 5,"Bengaluru / Bangalore,  Delhi,  Delhi/NCR",,Software Development Engineer II BengaluruEngineering  Product Engineering  / Full-time /  On-siteOur vision is to be the Champions of a Safer Digital Future and the Champions,"software development   ,   node  ,  js   ,   python   ,   go   ,   aws services   ,  sql  ,  devops  ,  web development  ,  api  ,  cloud computing  ,  problem solving  ,  nosql  ,  node.js  ,  infrastructure  ,  gateway",Posted 6 days ago
Safe Security - Software Development Engineer III,lucideus technology pvt ltd,5 - 8,Bengaluru / Bangalore,,Software Development Engineer III Bengaluru  / Engineering  Product Engineering  / Full-time /  On-siteOur vision is to be the Champions of a Safer Digital Future and the Cham,"technical leadership   ,   architecture and design   ,   code review   ,   cloud expertise   ,   problem solving   ,  sql  ,  devops  ,  web development  ,  api  ,  cloud computing  ,  python  ,  nosql  ,  infrastructure  ,  gateway",Posted 6 days ago
"Full Stack Developer  c# ,  Azure",PiMARQ,15 - 18,Bengaluru / Bangalore,,"They have an amazing team that brings tremendous depth in the data warehouse ,  business intelligence and analytics area with experience ranging from 15 years to 25 years. A m","c#  ,  css  ,  python  ,  bootstrap  ,  javascript  ,  sql  ,  html",Posted few days ago
Full Stack Developer,Inwizards Software Technology,0 - 3,Indore,,Position: Full Stack DevelopersSkill Require:Knowledge of object-oriented PHP and Laravel 5.8Experience in creating scalable REST APIsKnowledge of WordPress is a big plusKnowl,"rest  ,  laravel  ,  css  ,  rdbms  ,  wordpress  ,  web technologies  ,  php  ,  mysql  ,  html  ,  javascript",Posted few days ago
Software Developer  /  Web Developer,Sabhi Digital,1 - 4,Jodhpur,,Strong Knowledge of HTML5  &  CSS3Strong Knowledge of Javascript and Javascript library  &  Framework  (  JQUERY /  Reactjs /  Angular /  VUE /  EMBER /  SAILS /  POLYMER  ) S,"c#  ,  spring  ,  mvc framework  ,  python  ,  java  ,  html5  ,  .net  ,  javascript  ,  jquery  ,  ruby",Posted few days ago
Sr. Laravel Developer,Design N Buy,6 - 9,Ahmedabad,,"Experience in Laravel and React / Vue.JS Javascript.Experience in object-oriented PHP and Laravel 5 PHP Framework SQL schema design ,  SOLID principles ,  REST API design Deve","laravel  ,  software testing  ,  rest api  ,  php  ,  mysql  ,  javascript  ,  sql",Posted few days ago
Java Developer,covalense global,6 - 9,Hyderabad/Secunderabad,,"Experience level: 6  yrsSkills: Frontend library experience  ( Angular ,  React ,  Node or Vue )  Microservices and RESTful API experience Understanding of Containers  &  Dock","algorithms  ,  python  ,  c    ,  java  ,  api  ,  javascript  ,  docker",Posted few days ago
Java Developer,destiny hr group services,5 - 8,Netherlands,,"Job RequirementsAbout the role:JavascriptTypescriptWeb development framework Vue.jsProven knowledge of Testing frameworksAzure Cloud TechnologiesCI / CD Tooling  ( Gitlab ,  J","fundamentals  ,  javascript  ,  java developer  ,  spring boot  ,  java  ,  devops  ,  web development",Posted few days ago
NODE / PHP DEVELOPERS,3Embed Software Technologies,1 - 3,Bengaluru / Bangalore,,"**:**- Experience working with Node.JS frameworks like Express JS ,  Vue.JS ,  Hapi.js.- Hands on experience in creating Rest APIs.- Hands on experience with databases like Mo","node.js  ,  rest api  ,  operating system  ,  data structures  ,  mvc  ,  mongodb  ,  ajax  ,  javascript  ,  jquery",Posted few days ago
Senior Developer - Design System Portal Job Details | SAP,SAP Ariba,5 - 8,Bengaluru / Bangalore,,Software-Design and DevelopmentSenior Developer - Design System PortalBring out your bestSAP innovations help more than four hundred thousand customers worldwide work together,"javascript development   ,   react framework   ,   angular framework   ,   css and html   ,   database management   ,  wordpress  ,  database development  ,  markup languages  ,  debugging  ,  infrastructure",Posted 6 days ago
Safe Security - Principal Engineer - Platform,lucideus technology pvt ltd,1 - 2,Bengaluru / Bangalore,,Job Title: Principal Engineer - PlatformLocation: BengaluruDepartment: Engineering  Product EngineeringEmployment Type: Full-timeWork Arrangement: On-siteOur vision is to be t,"technical leadership   ,   architecture design   ,   hands on development   ,   code review   ,   problem solving   ,  orchestration  ,  sql  ,  security  ,  database  ,  devops  ,  web development  ,  api  ,  cloud computing  ,  python  ,  nosql  ,  infrastructure",Posted 6 days ago
"Expert ,  Full Stack Development Job Details | Colgate-Palmolive Company",Colgate-Palmolive  ( India ),5 - 7,Mumbai,,"# Job Title: Expert ,  Full Stack Development## Site upgrade in progress. You will not be able to apply at this time. Please be patient and check back with us later.**Date:**","full stack development   ,   web applications   ,   python   /   node js   ,   front end technologies   ,   agile development   ,  css  ,  information technology  ,  ajax  ,  spring  ,  web development  ,  html  ,  api  ,  javascript  ,  soap  ,  security  ,  git  ,  django  ,  written communication  ,  production environment",Posted 6 days ago
"commercetools Technical Lead ,  Java",Corra,6 - 10,Canada,,"## **Job Title:** commercetools Technical Lead ,  Java  **Location:** Canada - Full TimeCorra ,  a Publicis Sapient company ,  is the global digital agency that B2B and B2C br","java development   ,   commercetools expertise   ,   cloud platform integration   ,   cross functional collaboration   ,   leadership  &  mentorship   ,  security  ,  devops  ,  javascript  ,  spring boot  ,  infrastructure",Posted few days ago
Tech II temporaire 12 mois,Textron India Pvt Ltd,6 - 9,Canada,,"Tech II temporaire 12 moisCompany: Bell Textron Inc.Location: Mirabel ,  Quebec ,  CanadaPosted Date: 2024-05-15Reference No: 323563JOB DUTIES:Nous sommes des pionniers. Nous","engineering methods   ,   manufacturing processes   ,   quality assurance   ,   computer proficiency   ,   bilingual communication   ,  production  ,  fabrication  ,  ideas  ,  engineering department  ,  des",Posted few days ago
React JS  ( UI  /  API Developer ),IBM India Pvt Ltd,3 - 5,Singapore,,"IntroductionAs an Application Developer ,  you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agi","user interface design  restful apis  front end technologies  back end development  version control   ,  python  ,  information technology  ,  html5  ,  javascript  ,  node.js  ,  git",Posted few days ago
Sr. Full Stack Developer-Bangalore-6 years of experience-CTC 18-19LPA - Angel  &  Genie,Angel and Genie,6 - 8,Bengaluru / Bangalore,,"Job Title: Sr. Full-Stack DeveloperJob Type: Full-TimeLocation: BangaloreDesired Experience: 6-8 yearsResponsibilities:Collaborate with cross-functional teams to design ,  dev","web development   ,   front end technologies   ,   back end frameworks   ,   database management   ,   agile methodologies   ,  css  ,  sql  ,  git  ,  postgresql  ,  heroku  ,  debugging  ,  html  ,  mysql  ,  mongodb  ,  python  ,  laravel  ,  mobile  ,  javascript  ,  ruby  ,  nosql  ,  node.js",Posted few days ago
Web Developer  ( Node JS ),Arnold Consulting Private Limited,5 - 8,Bengaluru / Bangalore,,Job DescriptionJoin a product development company and a MNC that has been in the business for nearly two decades. Our client believes in giving their employees an excellent le,"rdbms  ,  c  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  node.js  ,  git  ,  mysql  ,  mongodb",Posted few days ago
PHP Developers,srisaas web designing company,0 - 1,Hyderabad/Secunderabad,,Job DescriptionPHP  / MySQL based Application Development / MaintenanceLaravel / CodeIgniter Application Development / MaintenancePayment Gateway IntegrationE-Commerce Website,"laravel  ,  jquery  ,  javascript  ,  oop  ,  codeigniter  ,  php  ,  mysql  ,  web development  ,  website development  ,  mvc",Posted few days ago
